,Unnamed: 0,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years,exchange,industry,sector,share_volume,trade_volume,market_cap,low_today,high_today,low_52,high_52,previous_close,_pe,_yield,_eps,_annualized_dividend
20,20,ORRF,28,08/05/2015,04/29/2022,2.9642857142857144,0.19,20.0,1,2015,0,NASDAQ-CM,Finance,Major Banks,14734.0,45110.0,269627000.0,24.5,24.13,25.84,21.81,24.47,8.71,3.11,2.8,0.76
21,21,SBSI,64,08/29/2006,05/18/2022,3.0,0.34,165.0,2,2006,24,NASDAQ-GS,Finance,Major Banks,121240.0,109592.0,1219000000.0,38.03,36.93,45.36,34.52,37.97,11.86,3.58,3.2,1.36
22,22,BTCS,1,03/16/2022,03/16/2022,0.0,0.05,0.0,0,2022,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,AMOT,43,11/14/2011,05/18/2022,3.0,0.025,25.0,1,2011,29,NASDAQ-GM,Industrials,Electrical Products,29814.0,43344.0,366918000.0,23.67,22.5,44.7,21.14,23.53,23.67,0.42,1.0,0.1
24,24,FBNC,125,06/24/1991,06/29/2022,3.0,0.22,69.23076923076923,3,1991,34,NASDAQ-GS,Finance,Major Banks,163125.0,148874.0,1272000000.0,35.71,34.54,50.92,33.87,35.59,10.98,2.47,3.25,0.88
25,25,GEGGL,6,09/14/2022,12/14/2023,2.5,0.45816,1.1247740409292677,0,2022,0,NASDAQ-GM,,,3998.0,0.0,0.0,23.99,23.84,24.49,23.65,24.05,0.0,0.0,0.0,0.0
26,26,WEN,67,11/03/2005,05/31/2022,3.0,0.125,100.0,2,2005,22,NASDAQ-GS,Consumer Discretionary,Restaurants,2400994.0,3265807.0,4285000000.0,20.03,19.1,24.48,15.77,19.36,22.73,2.58,0.88,0.5
27,27,WIRE,63,01/03/2007,06/30/2022,2.9365079365079363,0.02,0.0,2,2007,15,NASDAQ-GS,Industrials,Metal Fabrications,501832.0,235251.0,1923000000.0,100.98,95.22,151.64,65.98,102.11,3.03,0.08,32.2,0.08
28,28,PCH,52,03/03/2010,06/02/2022,2.8846153846153846,0.44,809.0909090909091,1,2010,22,NASDAQ-GS,Real Estate,Real Estate Investment Trusts,444722.0,491856.0,3120000000.0,45.03,43.73,61.51,43.37,45.11,6.74,3.9,6.67,1.76
29,29,TTWO,1,09/25/2008,09/25/2008,0.0,0.0001,0.0,1,2008,14,NASDAQ-GS,Technology,Computer Software: Prepackaged Software,1783522.0,3260396.0,20578000000.0,127.94,121.96,195.82,101.85,124.86,35.49,0.0,3.58,0.0
30,30,MPB,17,08/07/2018,05/09/2022,2.823529411764706,0.2,280.0,1,2018,22,NASDAQ-GM,Finance,Major Banks,22272.0,34194.0,430958000.0,27.05,26.17,33.89,24.81,27.15,10.59,2.95,2.55,0.8
31,31,NLOK,39,06/17/2013,06/07/2022,2.769230769230769,0.125,9500.0,1,2013,9,NASDAQ-GS,Technology,Computer Software: Prepackaged Software,3558223.0,6741000.0,12837000000.0,22.41,21.86,30.91,21.55,22.28,15.7,2.24,1.41,0.5
32,32,PLCE,24,03/25/2014,12/13/2019,2.875,0.56,100.0,0,2014,8,NASDAQ-GS,Consumer Discretionary,Clothing/Shoe/Accessory Stores,407355.0,548676.0,534465000.00000006,40.67,37.1,113.5,36.97,38.35,3.68,0.0,11.01,0.0
33,33,TRMD,2,05/01/2020,08/26/2020,1.5,0.85,750.0,1,2020,2,NASDAQ-GS,Consumer Discretionary,Marine Transportation,227446.0,507492.0,1067000000.0,12.86,12.37,15.07,6.17,13.16,0.0,12.92,-0.14,1.7
34,34,ATRI,78,11/26/2003,06/14/2022,2.8846153846153846,1.95,1685.7142857142856,2,2003,34,NASDAQ-GS,Health Care,Medical/Dental Instruments,4692.0,4179.0,1128000000.0,628.2,626.49,805.62,585.27,635.68,33.65,1.23,18.67,7.8
35,35,EXPI,4,08/13/2021,05/13/2022,2.25,0.04,0.0,0,2021,1,NASDAQ-GM,Finance,Real Estate,2141485.0,1442553.0,2150000000.0,14.39,12.06,55.43,11.06,12.58,26.15,1.27,0.55,0.16
36,36,BCML,2,03/10/2022,06/16/2022,1.5,0.05,0.0,0,2022,0,NASDAQ-GS,Finance,Major Banks,68140.0,141004.0,282853000.0,20.87,20.32,23.54,16.47,20.98,10.31,0.95,2.02,0.2
37,37,SIGA,1,05/16/2022,05/16/2022,0.0,0.45,0.0,0,2022,0,NASDAQ-GM,Health Care,Biotechnology: Pharmaceutical Preparations,3753168.0,12078369.0,925358000.0,12.9,12.01,14.8,5.66,12.61,13.74,0.0,0.93,0.0
38,38,SSBK,3,11/02/2021,05/03/2022,2.0,0.09,0.0,0,2021,1,NASDAQ-GS,Finance,Commercial Banks,1169.0,10552.0,198972000.0,22.75,22.16,26.06,18.9,22.23,11.26,1.62,2.02,0.36
39,39,PWP,4,09/02/2021,05/18/2022,2.0,0.07,0.0,0,2021,1,NASDAQ-GS,Finance,Investment Bankers/Brokers/Service,521116.0,926066.0,567768000.0,6.11,5.65,14.75,5.7,5.84,0.0,4.79,-0.67,0.28
40,40,MDRR,4,10/22/2021,07/15/2022,3.0,0.02,0.0,0,2021,4,NASDAQ-CM,Real Estate,Real Estate Investment Trusts,202552.0,88841.0,15548000.0,0.95,0.84,1.55,0.77,0.8375,0.0,9.55,-0.17,0.08
41,41,NDSN,135,11/18/1988,05/23/2022,2.977777777777778,0.51,30.769230769230774,4,1988,34,NASDAQ-GS,Industrials,Industrial Machinery/Components,261519.0,237411.0,11551000000.0,204.98,195.28,272.28,194.89,202.64,24.4,1.01,8.23,2.04
42,42,BNTX,1,06/02/2022,06/02/2022,0.0,2.111,0.0,0,2022,0,NASDAQ-GS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1651658.0,1264673.0,39133000000.0,162.82,151.08,464.0,117.08,157.5,2.8,0.0,57.45,0.0
43,43,BLMN,1,05/10/2022,05/10/2022,2.0,0.14,0.0,0,2022,7,NASDAQ-GS,Consumer Discretionary,Restaurants,1696395.0,2231014.0,1539000000.0,17.41,16.31,28.65,15.89,17.07,8.26,3.28,2.1,0.56
44,44,STRS,1,03/29/2017,03/29/2017,0.0,1.0,0.0,0,2017,5,NASDAQ-GS,Real Estate,Homebuilding,25744.0,46234.0,258870999.99999997,31.93,30.37,46.44,24.5,31.96,0.0,0.0,0.0,0.0
45,45,ASRV,36,08/01/2013,05/06/2022,3.0,0.03,50.0,1,2013,32,NASDAQ-GM,Finance,Major Banks,2094.0,15424.0,67410000.0,3.97,3.9,4.52,3.68,3.92,9.16,3.06,0.43,0.12
46,46,SOHON,3,06/28/2019,12/30/2019,2.0,0.515625,23.28742557922675,0,2019,3,NASDAQ-GM,Real Estate,Real Estate Investment Trusts,0.0,0.0,77827000.0,0.0,0.0,21.2,13.37,17.75,0.0,0.0,0.0,0.0
47,47,IBCP,32,08/01/2014,05/04/2022,3.03125,0.22,33.33333333333334,1,2014,34,NASDAQ-GS,Finance,Major Banks,125635.0,93826.0,409795000.0,19.48,18.87,26.0,17.87,19.66,7.18,4.48,2.71,0.88
48,48,DMLP,76,07/24/2003,04/29/2022,3.0,0.753926,121.94137596899223,2,2003,34,NASDAQ-GS,Energy,Oil & Gas Production,110651.0,0.0,913333000.0,24.77,23.5,32.61,15.5,24.43,10.09,12.34,2.41,3.016
49,49,CBNK,4,07/29/2021,05/06/2022,2.5,0.05,0.0,0,2021,1,NASDAQ-GS,Finance,Major Banks,16543.0,20364.0,302969000.0,21.81,21.44,28.16,19.01,21.96,7.48,0.91,2.89,0.2
50,50,ILPT,17,04/27/2018,04/22/2022,2.823529411764706,0.33,22.22222222222221,1,2018,4,NASDAQ-GS,Real Estate,Real Estate Investment Trusts,534399.0,0.0,935930000.0,14.34,13.84,28.66,13.03,14.22,9.94,9.28,1.44,1.32
51,51,BSRR,93,07/20/1999,04/29/2022,2.935483870967742,0.23,125.0,3,1999,23,NASDAQ-GS,Finance,Major Banks,28207.0,31886.0,327517000.0,21.75,21.5,28.92,20.77,21.96,8.45,4.19,2.57,0.92
52,52,ABTX,10,02/27/2020,05/27/2022,2.7,0.14,20.0,1,2020,2,NASDAQ-GM,Finance,Major Banks,94125.0,68122.0,796580000.0,39.22,37.86,46.0,34.3,38.9,9.72,1.44,4.02,0.56
53,53,CHW,176,08/09/2007,06/10/2022,1.0113636363636365,0.07,24.0,2,2007,0,NASDAQ-GS,Finance,Investment Managers,168991.0,182135.0,416893000.0,6.84,6.71,11.39,6.49,6.88,0.0,12.21,0.0,0.84
54,54,REG,88,08/09/2000,06/14/2022,2.977272727272727,0.625,10.924369747899163,3,2000,22,NASDAQ-GS,Real Estate,Real Estate Investment Trusts,702443.0,1030947.0,10451000000.0,60.51,57.54,78.78,55.78,60.4,21.72,4.14,2.78,2.5
55,55,LRFC,70,12/06/2013,03/20/2020,1.0714285714285714,0.0833,31.90810465858325,1,2013,9,NASDAQ-GS,Finance,"Trusts, Except Educational, Religious, and Charitable",4186.0,10367.0,42293000.0,15.92,15.0,28.9,14.43,15.49,0.0,0.0,-5.59,0.0
56,56,JRSH,15,11/16/2018,05/26/2022,2.8,0.05,0.0,1,2018,4,NASDAQ-CM,Consumer Discretionary,Industrial Specialties,22702.0,24392.0,58218000.0,4.87,4.7,9.2,4.59,4.87,6.94,4.11,0.68,0.2
57,57,LKFN,95,10/07/1998,04/22/2022,3.0,0.4,22.22222222222223,3,1998,25,NASDAQ-GS,Finance,Major Banks,136743.0,139209.0,1715000000.0,67.69,65.36,85.71,56.06,67.29,18.0,2.38,3.76,1.6
58,58,CHCO,80,10/11/2002,07/14/2022,3.0,0.6,33.33333333333334,2,2002,34,NASDAQ-GS,Finance,Major Banks,105549.0,86867.0,1225000000.0,81.9,79.53,86.3,71.61,81.33,14.05,2.95,5.83,2.4
59,59,RNDB,2,11/08/2021,02/07/2022,1.5,2.15,1333.3333333333337,0,2021,1,NASDAQ-GM,Finance,Major Banks,7647.0,15767.0,137091000.0,26.44,26.05,27.4,18.18,26.31,25.42,2.28,1.04,0.6
60,60,KLAC,70,04/28/2005,05/13/2022,2.9285714285714284,1.05,3200.0,2,2005,17,NASDAQ-GS,Technology,Electronic Components,2222636.0,1423403.0,42172000000.0,295.73,282.83,457.12,287.44,296.26,14.35,1.42,20.6,4.2
61,61,RILYK,7,04/14/2021,10/13/2022,2.571428571428572,0.34375,190.32257519629184,0,2021,1,NASDAQ-GM,Consumer Discretionary,Business Services,2400.0,0.0,0.0,24.35,24.14,27.48,23.66,24.35,0.0,5.65,0.0,1.375
62,62,TANNL,32,02/11/2015,11/14/2022,2.90625,0.5,25.00312507812696,1,2015,7,NASDAQ-GS,Energy,Food Chains,2029.0,0.0,999185000.0,25.32,25.14,27.17,25.01,25.48,0.0,7.85,0.0,2.0
63,63,STLD,73,07/22/2004,06/29/2022,2.9452054794520546,0.34,100.0,2,2004,18,NASDAQ-GS,Industrials,Steel/Iron Ore,1755980.0,2338149.0,12171000000.0,64.53,62.78,100.37,50.54,66.23,3.33,2.05,19.37,1.36
64,64,LFVN,1,05/16/2022,05/16/2022,0.0,0.03,0.0,0,2022,0,NASDAQ-CM,Consumer Staples,Farming/Seeds/Milling,22578.0,35676.0,54641000.0,4.56,4.26,8.62,3.8,4.51,6.2,2.66,0.7,0.12
65,65,ULTA,1,03/16/2012,03/16/2012,0.0,1.0,0.0,0,2012,10,NASDAQ-GS,,,922562.0,886524.0,19612000000.0,378.49,368.64,438.63,319.05,382.85,18.73,0.0,20.21,0.0
66,66,STEP,6,03/18/2021,06/14/2022,2.5,0.2,114.28571428571428,0,2021,1,NASDAQ-GS,Finance,Finance/Investors Services,252270.0,399195.0,1675000000.0,27.41,25.55,55.19,22.39,26.78,6.8,2.99,4.03,0.8
67,67,IBKR,45,08/30/2011,05/31/2022,2.933333333333333,0.1,900.0,1,2011,12,NASDAQ-GS,Finance,Investment Bankers/Brokers/Service,697512.0,887670.0,23649000000.0,56.76,54.36,82.83,52.18,55.81,19.98,0.72,2.84,0.4
68,68,CHSCN,33,06/12/2014,06/16/2022,2.909090909090909,0.44375,0.0,1,2014,8,NASDAQ-GS,Consumer Staples,Tobacco,35229.0,0.0,0.0,26.19,25.75,28.87,24.02,25.85,0.0,6.87,0.0,1.775
69,69,CSWI,13,05/07/2019,04/28/2022,2.6923076923076925,0.17,13.333333333333345,1,2019,3,NASDAQ-GS,Industrials,Home Furnishings,44850.0,45554.0,1657000000.0,105.69,102.01,145.5,96.03,104.84,25.78,0.65,4.1,0.68
70,70,LARK,99,10/30/1997,05/10/2022,3.01010101010101,0.21,100.0,3,1997,28,NASDAQ-GM,Finance,Major Banks,438.0,2956.0,124428000.0,24.94,24.94,30.0,24.16,25.35,7.93,3.31,3.15,0.84
71,71,AFCG,5,06/14/2021,06/29/2022,2.4,0.56,16.279069767441868,0,2021,1,NASDAQ-GM,Real Estate,Real Estate Investment Trusts,85211.0,162593.0,307989000.0,15.62,15.26,25.5,14.9,15.72,8.86,14.25,1.76,2.24
72,72,NBTB,89,05/30/2000,05/31/2022,3.0,0.28,11.764705882352928,3,2000,30,NASDAQ-GS,Finance,Major Banks,205314.0,159809.0,1640000000.0,38.37,37.21,42.33,32.66,38.16,10.82,2.93,3.54,1.12
73,73,RRBI,10,03/13/2020,06/10/2022,2.7,0.07,16.666666666666686,1,2020,2,NASDAQ-GS,Finance,Commercial Banks,4361.0,6985.0,379845000.0,53.52,52.49,57.8,46.93,53.4,11.89,0.52,4.45,0.28
74,74,ASTE,36,08/09/2013,05/12/2022,3.0,0.12,10.0,1,2013,10,NASDAQ-GS,Industrials,Construction/Ag Equipment/Trucks,144195.0,133878.0,956403000.0,42.02,39.79,75.0,36.31,41.5,72.19,1.16,0.58,0.48
75,75,MELI,28,03/29/2011,12/28/2017,2.892857142857143,0.15,45.63106796116506,0,2011,11,NASDAQ-GS,Consumer Discretionary,Catalog/Specialty Distribution,757928.0,706319.0,35948000000.0,719.82,627.86,1970.13,600.68,659.95,194.43,0.0,3.67,0.0
76,76,CDW,35,11/13/2013,05/24/2022,2.914285714285714,0.5,59.25925925925924,1,2013,9,NASDAQ-GS,Technology,EDP Services,701820.0,850561.0,21315000000.0,157.88,152.15,208.71,154.13,157.0,21.79,1.27,7.24,2.0
77,77,NXGN,35,06/13/2007,12/09/2015,3.0285714285714285,0.175,20.0,1,2007,17,NASDAQ-GS,Health Care,Managed Health Care,379893.0,372887.0,1179000000.0,17.57,17.06,21.87,13.64,17.61,585.33,0.0,0.03,0.0
78,78,ARTNA,105,08/07/1996,08/08/2022,2.9714285714285715,0.2729,10.869565217391298,3,1996,26,NASDAQ-GS,Utilities,Water Supply,23310.0,27910.0,465176000.0,50.41,48.82,50.88,36.55,50.38,27.6,2.17,1.81,1.092
79,79,WING,22,12/01/2017,05/19/2022,2.590909090909091,0.17,4428.571428571428,1,2017,6,NASDAQ-GS,Consumer Discretionary,Restaurants,822844.0,741073.0,2521000000.0,84.62,77.09,187.35,67.67,79.44,65.92,0.86,1.28,0.68
80,80,CPSI,71,05/07/2003,08/14/2020,2.915492957746479,0.1,117.39130434782606,2,2003,19,NASDAQ-GS,Technology,EDP Services,65450.0,84246.0,479085000.0,32.48,31.61,37.62,26.11,32.46,21.21,1.23,1.53,0.4
81,81,NFBK,37,05/06/2013,05/10/2022,3.0,0.13,416.66666666666674,1,2013,14,NASDAQ-GS,Finance,Major Banks,213998.0,145602.0,650323000.0,13.55,12.94,18.41,11.87,13.31,9.71,3.91,1.37,0.52
82,82,RTLR,11,11/14/2019,05/12/2022,2.727272727272727,0.3,25.0,1,2019,3,NASDAQ-GS,Energy,Oilfield Services/Equipment,557294.0,0.0,1867000000.0,13.24,12.48,18.22,9.51,13.64,13.75,8.8,0.93,1.2
83,83,BHFAO,8,09/09/2020,06/09/2022,2.625,0.421875,0.0,1,2020,2,NASDAQ-GS,Finance,Life Insurance,24376.0,0.0,0.0,24.77,24.38,29.34,23.42,24.77,0.0,6.81,0.0,1.6875
84,84,MLAB,75,11/26/2003,05/27/2022,2.96,0.16,433.33333333333337,2,2003,19,NASDAQ-GS,Industrials,Industrial Machinery/Components,39542.0,36601.0,1078000000.0,206.11,201.92,333.42,178.32,206.87,584.54,0.31,0.35,0.64
85,85,ASO,2,03/16/2022,06/15/2022,1.5,0.075,0.0,0,2022,0,NASDAQ-GS,Consumer Discretionary,Recreational Games/Products/Toys,2062458.0,2654610.0,3111000000.0,36.58,33.82,51.08,25.1,34.99,5.25,0.86,6.97,0.3
86,86,CSQ,214,06/09/2004,06/10/2022,1.0093457943925233,0.1025,38.82926829268294,2,2004,0,NASDAQ-GS,Finance,Finance Companies,223658.0,307288.0,2138000000.0,13.55,13.22,19.89,12.51,13.45,0.0,9.14,0.0,1.23
87,87,CSSEN,20,09/14/2020,06/12/2025,2.85,0.59375,23.69791666666667,1,2020,2,NASDAQ-GM,Consumer Discretionary,Movies/Entertainment,2126.0,0.0,0.0,24.19,23.95,26.75,20.5,23.97,0.0,9.91,0.0,2.375
88,88,EVGBC,76,05/02/2016,01/03/2023,0.9736842105263158,0.0,900.0000000000002,1,2016,0,NASDAQ-GM,Finance,Investment Managers,0.0,0.0,0.0,0.0,0.0,99.96,99.96,99.96,0.0,0.39,0.0,0.3876
89,89,FITBO,11,12/26/2019,06/27/2022,2.727272727272727,0.30938,0.0,1,2019,3,NASDAQ-GS,Finance,Major Banks,13339.0,0.0,0.0,22.74,22.16,27.58,19.76,22.54,0.0,5.49,0.0,1.2375
90,90,REFI,2,03/30/2022,06/29/2022,1.5,0.47,17.5,0,2022,0,NASDAQ-GM,Real Estate,Real Estate Investment Trusts,58838.0,66563.0,263986000.0,15.54,14.87,20.29,14.78,15.17,0.0,12.39,0.0,1.88
91,91,RILY,23,11/25/2016,05/10/2022,3.0,1.0,833.3333333333334,1,2016,8,NASDAQ-GM,Finance,Investment Managers,352491.0,326675.0,1286000000.0,46.19,41.85,91.24,41.61,43.47,7.78,9.2,5.92,4.0
92,92,CNNB,1,04/29/2022,04/29/2022,0.0,1.0,0.0,0,2022,0,NASDAQ-CM,Finance,Commercial Banks,349.0,2175.0,43747000.0,14.74,14.74,15.94,13.75,14.66,0.0,0.0,0.0,0.0
93,93,AMWD,61,09/11/1996,06/09/2011,2.901639344262295,0.09,100.0,2,1996,26,NASDAQ-GS,Consumer Discretionary,Building Products,113217.0,116096.0,771105000.0,46.62,45.63,82.88,40.7,47.21,0.0,0.0,-1.8,0.0
94,94,PAAS,47,11/17/2010,05/23/2022,3.0,0.12,150.0,1,2010,12,NASDAQ-GS,,,3693056.0,2140137.0,3993000000.0,19.73,18.28,30.56,18.77,20.02,21.76,2.4,0.86,0.48
95,95,CATY,126,01/07/1991,05/26/2022,2.984126984126984,0.34,400.0,3,1991,31,NASDAQ-GS,Finance,Major Banks,235941.0,328696.0,2963000000.0,39.59,38.33,48.88,35.51,39.86,10.19,3.41,3.87,1.36
96,96,HNNAZ,2,03/14/2022,06/14/2022,1.5,0.3046875,1.5625,0,2022,0,NASDAQ-GM,,,0.0,0.0,0.0,0.0,0.0,27.65,24.36,25.0,0.0,4.88,0.0,1.2188
97,97,RAVE,13,10/08/1997,10/04/2000,2.769230769230769,0.06,0.0,0,1997,25,NASDAQ-CM,Consumer Discretionary,Restaurants,19852.0,123345.0,19985000.0,1.13,1.08,1.8,0.82,1.11,9.25,0.0,0.12,0.0
98,98,FWP,1,09/12/2017,09/12/2017,0.0,23.123008,0.0,0,2017,5,NASDAQ-CM,Health Care,Biotechnology: Pharmaceutical Preparations,0.0,5892.0,30563000.0,0.0,0.0,20.31,4.02,4.35,0.0,0.0,0.0,0.0
99,99,HAFC,35,12/05/2013,05/06/2022,3.0,0.22,66.66666666666669,1,2013,19,NASDAQ-GS,Finance,Major Banks,169804.0,165126.0,701046000.0,23.02,22.22,28.84,16.67,22.76,6.87,3.87,3.35,0.88
100,100,HVBC,1,03/07/2018,03/07/2018,0.0,0.5,0.0,0,2018,4,NASDAQ-CM,Finance,Major Banks,3343.0,1034.0,45434000.0,21.0,19.34,23.29,18.52,20.0,12.88,0.0,1.63,0.0
101,101,VBTX,14,02/06/2019,05/12/2022,2.7857142857142856,0.2,36.0,1,2019,3,NASDAQ-GM,Finance,Major Banks,503891.0,376729.0,1612000000.0,29.88,28.89,45.36,27.28,29.95,10.71,2.67,2.79,0.8
102,102,LEE,13,08/30/2005,08/28/2008,3.0,0.19,5.555555555555557,1,2005,22,NASDAQ-GS,Consumer Discretionary,Newspapers/Magazines,17070.0,31913.0,106997000.0,18.88,17.76,44.43,17.78,18.66,8.13,0.0,2.21,0.0
103,103,EBIX,33,05/28/2014,06/02/2022,3.0303030303030303,0.075,0.0,1,2014,11,NASDAQ-GS,Technology,EDP Services,420313.0,587363.0,547015000.0,17.8,16.06,44.42,12.5,16.81,8.31,1.78,2.13,0.3
104,104,BPRN,15,11/02/2018,05/05/2022,2.8,0.25,233.33333333333337,1,2018,4,NASDAQ-GS,Finance,Major Banks,7790.0,10973.0,175718000.0,28.15,27.35,32.05,26.57,27.48,7.91,3.64,3.51,1.0
105,105,EPSN,2,03/07/2022,06/14/2022,1.5,0.0625,0.0,0,2022,0,NASDAQ-GM,,,242992.0,244963.0,133130000.0,6.02,5.54,7.99,4.61,6.15,9.18,4.06,0.61,0.25
106,106,HMPT,4,08/19/2021,05/23/2022,2.25,0.04,0.0,0,2021,1,NASDAQ-GS,Finance,Finance: Consumer Services,23143.0,64218.0,536650999.99999994,3.95,3.77,6.08,2.47,3.85,18.48,4.16,0.21,0.16
107,107,CZNC,56,07/01/2008,04/29/2022,3.017857142857143,0.28,37.03703703703704,2,2008,23,NASDAQ-CM,Finance,Major Banks,13431.0,27370.0,378736000.0,24.27,23.75,27.99,23.21,24.2,13.41,4.63,1.81,1.12
108,108,MGRC,128,04/10/1990,07/14/2022,2.9765625,0.455,30.769230769230774,4,1990,32,NASDAQ-GS,Consumer Discretionary,Diversified Commercial Services,68187.0,84127.0,1873000000.0,76.93,74.96,91.37,67.08,77.72,20.68,2.34,3.72,1.82
109,109,CHRW,100,12/10/1997,06/02/2022,2.94,0.55,50.0,3,1997,25,NASDAQ-GS,Consumer Discretionary,Oil Refining/Marketing,1174803.0,1255499.0,12658000000.0,102.39,98.02,115.99,84.67,102.06,14.05,2.16,7.08,2.2
